"X","X0"
"UQCR10",8
"SIAH2",8
"CA4",8
"SPARC",8
"BRWD1",7
"BRD3",7
"SMYD1",7
"EIF4EBP1",7
"CDC20",7
"AR",7
"VLDLR",7
"DIRC2",7
"KIFAP3",7
"EIF2D",7
"NREP",7
"RTN4IP1",7
"NAV2",6
"MRPL38",6
"RAD23A",6
"B3GALNT2",6
"KITLG",6
"ATP5C1",6
"RFWD2",6
"GSK3B",6
"USF2",6
"COL5A3",6
"UBE2A",6
"KLHDC3",6
"MRPS15",6
"PAPOLA",6
"CNNM4",6
"ALAD",6
"COL4A1",6
"ABCB8",6
"GOT2",6
"COL3A1",6
"CRAT",6
"MRPS25",6
"MAPK8",6
"DNMT3A",6
"RAP1B",-6
"FAM213A",-6
"SEPT4",-6
"RAD21",-6
"PRKCZ",-6
"LATS2",-6
"SAT1",-6
"ITGB2",-6
"GOLPH3L",-6
"TSC22D1",-6
"CDKN2B",-6
"FCER1G",-6
"MTMR12",-6
"TMX1",-6
"FNIP1",-6
"TMEM106A",-6
"FMNL2",-6
"COPB2",-6
"ATP1B3",-6
"VAV3",-6
"ITPR1",-6
"AKR1B10",-6
"PPP1R3C",-6
"HTRA1",-6
"TMTC2",-6
"TGM2",-6
"ID2",-6
"PLEK",-6
"FEZ2",-6
"HSPA2",-6
"GREB1L",-6
"RBL2",-6
"CLIC4",-6
"LYZ",-6
"CMPK2",-6
"LIPA",-6
"FCHSD2",-6
"LGALS3",-6
"RTP4",-6
"FNBP1",-6
"SERPING1",-6
"IL6ST",-6
"SERPINB9",-6
"EDIL3",-6
"GBP4",-6
"FAM107A",-6
"TRAF3IP2",-6
"ADCYAP1R1",-6
"GBP6",-6
"NPM1",-6
"C1QB",-6
"PLTP",-6
"TM4SF1",-6
"ARRB1",-6
"STK17B",-6
"C3",-6
"CPXM2",-6
"RBPJ",-6
"B2M",-6
"DDAH1",-6
"TMEM176B",-6
"CASP1",-7
"CTSS",-7
"RSRC1",-7
"FST",-7
"SLC44A1",-7
"CTNNA1",-7
"C1QC",-7
"PJA2",-7
"LYST",-7
"FYB",-7
"SKAP2",-7
"RNF145",-7
"EHD4",-7
"CFLAR",-7
"TMEM123",-7
"SERPINB6",-7
"MGST1",-8
"NPC2",-8
"SFRP1",-8
"APOE",-8
"ARAP2",-8
"PTPRC",-8
"ANXA4",-8
"GCNT2",-8
"PRNP",-8
"HLA-A",-9
"CP",-9
"TMEM176A",-11
"EFEMP1",-11
